Code,Description
07,SUMMER 97
08,WINTER 98
09,SUMMER 98
10,WINTER 99
11,SUMMER 99
12,SUMMER 2000
13,WINTER 2000
14,SUMMER 2000
15,SUMMER 2001
16,WINTER 2001
17,SUMMER 2001
18,SUMMER 2002
19,WINTER 2002
20,WINTER 2003
21,SUMMER 2003
22,SUMMER 2004
23,WINTER 2004
24,SUMMER 2004
25,Summer 2005
26,Winter 2005
26,Summer 2006
27,Summer 2005
28,Summer 2006
29,Winter 2006
30,Summer 06
31,Summer 2010
32,Winter 07
33,Summer 07
33,Summer 08
34,Summer 08
35,Winter 08
36,Summer 08
37,Summer 09
38,Summer 2010
39,Winter 2011
40,Winter 2012
41,Summer 2012
42,Winter 2013
43,Summer 2013
44,Winter 2014
45,Summer 2014
46,Winter 2015
47,Summer 2015
48,Ssummer-2016
49,Winter-2016
50,Summer 2016
51,Summer 2017
52,Winter 2017
53,Summer 2017
54,Summer 2018
55,Winter 2018
